,race,age,case_type,offense,prior_felony,prior_misdemeanor,prior_criminal_traffic,recidivism
68151,Caucasian,40-49,Misdemeanor,Battery,1-5,None,None,no
68152,Caucasian,Younger than 18,Misdemeanor,Other,None,None,None,no
68153,African American,Younger than 18,Misdemeanor,Battery,None,None,None,no
68154,Caucasian,18-29,Criminal Traffic,OAR/OAS,None,None,1-5,yes
68155,African American,18-29,Criminal Traffic,OAR/OAS,1-5,None,1-5,no
68156,Caucasian,50-59,Criminal Traffic,Operating While Intoxicated,None,None,None,no
68157,Other,30-39,Misdemeanor,Bail Jumping,1-5,1-5,None,yes
68158,Caucasian,18-29,Felony,Other,None,None,None,no
68159,Caucasian,30-39,Felony,Bail Jumping,1-5,1-5,None,no
68160,Caucasian,50-59,Misdemeanor,Bail Jumping,1-5,1-5,1-5,no
68161,African American,18-29,Felony,Resisting Officer,1-5,1-5,None,yes
68162,Caucasian,18-29,Misdemeanor,Resisting Officer,None,1-5,None,no
68164,African American,30-39,Misdemeanor,Other,1-5,None,None,yes
68165,African American,18-29,Felony,Bail Jumping,1-5,1-5,None,yes
68166,African American,Younger than 18,Misdemeanor,Disorderly Conduct,None,None,None,yes
68167,Caucasian,40-49,Felony,Other,None,None,None,no
68168,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,1-5,None,None,yes
68170,African American,Younger than 18,Felony,Other,1-5,None,None,no
68171,Caucasian,18-29,Felony,Other,1-5,1-5,1-5,yes
68173,African American,18-29,Criminal Traffic,OAR/OAS,None,None,None,yes
68174,Other,18-29,Criminal Traffic,OAR/OAS,None,None,1-5,no
68175,Other,18-29,Misdemeanor,Other,None,1-5,1-5,yes
68176,Caucasian,18-29,Misdemeanor,Other,None,1-5,None,no
68177,Caucasian,30-39,Felony,Other,1-5,1-5,1-5,yes
68178,Other,18-29,Misdemeanor,Resisting Officer,1-5,None,1-5,no
68179,Caucasian,50-59,Criminal Traffic,Operating While Intoxicated,None,None,None,yes
68180,African American,40-49,Felony,Bail Jumping,1-5,More than 10,None,yes
68181,African American,40-49,Misdemeanor,Other,6-10,6-10,1-5,yes
68182,Caucasian,40-49,Misdemeanor,Other,None,None,None,no
68183,Caucasian,18-29,Misdemeanor,Other,None,None,None,no
68184,African American,Younger than 18,Misdemeanor,Other,1-5,1-5,None,yes
68185,Caucasian,50-59,Criminal Traffic,OAR/OAS,1-5,None,None,yes
68186,African American,30-39,Criminal Traffic,OAR/OAS,1-5,None,1-5,yes
68187,Caucasian,30-39,Felony,Bail Jumping,6-10,1-5,None,no
68188,Other,18-29,Criminal Traffic,OAR/OAS,1-5,None,6-10,yes
68189,Caucasian,30-39,Felony,Other,None,None,None,no
68190,Caucasian,18-29,Misdemeanor,Other,None,1-5,None,yes
68191,Caucasian,40-49,Misdemeanor,Other,None,None,None,yes
68192,Other,40-49,Criminal Traffic,OAR/OAS,None,None,1-5,no
68193,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,None,None,1-5,no
68194,Caucasian,18-29,Criminal Traffic,OAR/OAS,None,None,1-5,no
68195,African American,18-29,Misdemeanor,Resisting Officer,None,None,None,no
68196,African American,18-29,Criminal Traffic,Operating While Intoxicated,None,None,None,yes
68197,Caucasian,18-29,Criminal Traffic,OAR/OAS,1-5,1-5,1-5,yes
68198,African American,18-29,Misdemeanor,Battery,1-5,None,None,no
68199,African American,50-59,Misdemeanor,Other,1-5,1-5,None,yes
68200,African American,Younger than 18,Misdemeanor,Resisting Officer,1-5,1-5,None,no
68201,Caucasian,30-39,Criminal Traffic,OAR/OAS,None,1-5,None,no
68202,Caucasian,18-29,Misdemeanor,Other,1-5,1-5,1-5,yes
68203,Caucasian,40-49,Felony,Other,1-5,None,None,yes
68204,Caucasian,30-39,Felony,Other,None,1-5,None,no
68205,Caucasian,Younger than 18,Felony,Other,None,None,None,no
68206,Caucasian,40-49,Misdemeanor,Other,None,1-5,None,no
68207,Caucasian,40-49,Misdemeanor,Battery,None,None,None,no
68208,African American,18-29,Misdemeanor,Battery,1-5,6-10,None,no
68209,Other,18-29,Misdemeanor,Other,1-5,1-5,1-5,yes
68210,Caucasian,18-29,Felony,Other,1-5,6-10,None,yes
68211,Caucasian,18-29,Misdemeanor,Other,1-5,1-5,1-5,no
68212,Caucasian,40-49,Criminal Traffic,OAR/OAS,1-5,1-5,1-5,no
68213,Caucasian,40-49,Misdemeanor,Other,None,None,1-5,no
68214,Caucasian,50-59,Criminal Traffic,Operating While Intoxicated,1-5,1-5,None,yes
68216,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,1-5,1-5,1-5,yes
68217,Caucasian,30-39,Misdemeanor,Battery,None,1-5,None,yes
68218,Caucasian,18-29,Criminal Traffic,Other,None,None,1-5,no
68219,Caucasian,40-49,Felony,Other,6-10,None,1-5,no
68220,Other,40-49,Misdemeanor,Disorderly Conduct,None,None,None,no
68221,Caucasian,50-59,Misdemeanor,Battery,None,1-5,None,no
68222,Other,50-59,Criminal Traffic,OAR/OAS,None,None,None,no
68223,Caucasian,18-29,Misdemeanor,Battery,1-5,1-5,1-5,yes
68224,Other,30-39,Felony,Other,1-5,None,1-5,yes
68225,African American,30-39,Criminal Traffic,OAR/OAS,1-5,6-10,1-5,yes
68226,Caucasian,18-29,Misdemeanor,Other,1-5,6-10,None,yes
68228,Caucasian,30-39,Misdemeanor,Bail Jumping,1-5,6-10,1-5,yes
68229,Caucasian,18-29,Felony,Other,1-5,1-5,None,no
68230,Caucasian,30-39,Criminal Traffic,OAR/OAS,None,1-5,None,yes
68231,Other,30-39,Criminal Traffic,Other,None,None,None,no
68232,Caucasian,18-29,Misdemeanor,Other,1-5,1-5,None,yes
68233,Caucasian,18-29,Misdemeanor,Other,None,None,None,no
68234,Caucasian,30-39,Felony,Other,1-5,1-5,None,no
68235,Caucasian,18-29,Felony,Other,None,None,None,no
68236,African American,18-29,Misdemeanor,Resisting Officer,None,None,1-5,no
68237,Caucasian,18-29,Misdemeanor,Disorderly Conduct,None,1-5,None,yes
68238,Caucasian,18-29,Misdemeanor,Other,None,1-5,None,no
68239,Caucasian,18-29,Misdemeanor,Disorderly Conduct,1-5,1-5,None,no
68240,Caucasian,30-39,Misdemeanor,Resisting Officer,None,1-5,None,yes
68241,Caucasian,18-29,Misdemeanor,Resisting Officer,1-5,1-5,None,no
68242,Caucasian,40-49,Misdemeanor,Disorderly Conduct,None,1-5,None,no
68243,Caucasian,18-29,Misdemeanor,Other,None,1-5,None,yes
68244,African American,30-39,Felony,Other,1-5,6-10,None,no
68245,Caucasian,18-29,Misdemeanor,Disorderly Conduct,None,None,None,no
68246,Caucasian,30-39,Criminal Traffic,Other,1-5,1-5,None,yes
68247,Other,18-29,Criminal Traffic,Other,None,None,1-5,no
68248,Other,18-29,Misdemeanor,Resisting Officer,None,1-5,None,yes
68249,African American,18-29,Felony,Other,None,None,None,yes
68250,African American,40-49,Felony,Other,1-5,None,None,no
68251,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,None,1-5,1-5,yes
68252,African American,Younger than 18,Misdemeanor,Disorderly Conduct,1-5,1-5,None,yes
68253,Caucasian,30-39,Misdemeanor,Bail Jumping,None,1-5,None,yes
68255,Caucasian,18-29,Criminal Traffic,OAR/OAS,1-5,1-5,1-5,no
68256,African American,50-59,Felony,Other,1-5,1-5,None,no
68257,Caucasian,50-59,Felony,Other,None,None,1-5,no
68258,African American,18-29,Misdemeanor,Disorderly Conduct,None,None,None,no
68259,Caucasian,50-59,Misdemeanor,Other,1-5,1-5,None,no
68260,Caucasian,18-29,Felony,Other,None,None,None,yes
68261,Caucasian,30-39,Misdemeanor,Other,None,1-5,None,no
68262,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,None,None,no
68263,African American,18-29,Felony,Battery,1-5,1-5,None,yes
68264,Other,40-49,Criminal Traffic,OAR/OAS,1-5,None,None,no
68265,Caucasian,Older than 60,Criminal Traffic,Operating While Intoxicated,None,None,1-5,yes
68266,Caucasian,Younger than 18,Felony,Other,None,None,None,no
68267,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,1-5,None,1-5,no
68268,African American,30-39,Criminal Traffic,OAR/OAS,1-5,None,None,yes
68269,Other,Younger than 18,Misdemeanor,Other,None,None,None,no
68270,Caucasian,30-39,Felony,Other,1-5,None,None,no
68272,Caucasian,40-49,Misdemeanor,Resisting Officer,1-5,1-5,1-5,no
68273,African American,30-39,Misdemeanor,Battery,None,None,1-5,no
68275,Caucasian,Younger than 18,Misdemeanor,Other,None,1-5,None,yes
68276,Other,18-29,Criminal Traffic,Other,None,None,None,no
68277,Other,18-29,Misdemeanor,Other,None,1-5,None,no
68278,African American,Younger than 18,Misdemeanor,Resisting Officer,None,1-5,None,yes
68279,African American,18-29,Misdemeanor,Battery,None,1-5,None,no
68281,African American,18-29,Misdemeanor,Battery,1-5,6-10,None,yes
68282,African American,18-29,Misdemeanor,Resisting Officer,None,None,None,no
68283,Caucasian,30-39,Misdemeanor,Other,None,1-5,None,no
68284,Other,30-39,Felony,Other,None,1-5,None,no
68285,Caucasian,30-39,Felony,Other,1-5,None,1-5,yes
68287,Caucasian,40-49,Misdemeanor,Disorderly Conduct,None,None,1-5,no
68288,African American,18-29,Felony,Other,1-5,None,None,no
68289,Other,40-49,Criminal Traffic,Other,None,None,1-5,no
68290,African American,30-39,Misdemeanor,Other,1-5,None,None,yes
68291,Caucasian,50-59,Misdemeanor,Disorderly Conduct,None,1-5,None,yes
68292,African American,40-49,Felony,Other,1-5,None,None,yes
68293,Caucasian,30-39,Criminal Traffic,Other,None,None,None,yes
68294,African American,30-39,Criminal Traffic,OAR/OAS,None,6-10,None,no
68295,Caucasian,18-29,Felony,Other,1-5,1-5,None,yes
68296,Caucasian,50-59,Misdemeanor,Other,None,1-5,1-5,no
68297,Caucasian,18-29,Felony,Bail Jumping,1-5,None,None,no
68298,African American,18-29,Felony,Other,1-5,None,None,no
68299,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,None,None,no
68300,Caucasian,30-39,Felony,Other,None,1-5,1-5,no
68301,Caucasian,18-29,Misdemeanor,Battery,1-5,1-5,None,no
68302,African American,18-29,Misdemeanor,Other,None,1-5,1-5,yes
68303,Caucasian,18-29,Misdemeanor,Disorderly Conduct,None,1-5,None,yes
68304,Caucasian,30-39,Misdemeanor,Other,1-5,1-5,None,no
68306,Caucasian,40-49,Felony,Other,1-5,None,1-5,no
68307,Caucasian,18-29,Misdemeanor,Other,None,1-5,None,yes
68308,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,None,None,None,no
68309,Caucasian,18-29,Felony,Other,1-5,None,None,no
68310,African American,40-49,Criminal Traffic,Operating While Intoxicated,None,None,1-5,no
68311,Other,18-29,Felony,Other,1-5,1-5,1-5,yes
68312,Caucasian,40-49,Misdemeanor,Other,None,None,None,no
68313,Caucasian,40-49,Misdemeanor,Other,1-5,1-5,1-5,no
68314,Caucasian,18-29,Felony,Other,None,1-5,None,yes
68315,Other,18-29,Criminal Traffic,Other,None,None,None,no
68316,Caucasian,18-29,Misdemeanor,Other,None,None,None,no
68317,Caucasian,18-29,Felony,Other,None,1-5,None,yes
68318,Caucasian,18-29,Criminal Traffic,OAR/OAS,None,1-5,1-5,yes
68319,Caucasian,30-39,Misdemeanor,Disorderly Conduct,None,1-5,None,yes
68320,Caucasian,18-29,Misdemeanor,Disorderly Conduct,1-5,1-5,None,no
68321,Other,30-39,Misdemeanor,Resisting Officer,None,1-5,None,no
68322,Caucasian,50-59,Criminal Traffic,Operating While Intoxicated,None,1-5,None,yes
68323,Caucasian,30-39,Felony,Other,None,None,None,no
68324,African American,30-39,Felony,Other,1-5,1-5,1-5,yes
68325,Other,30-39,Felony,Bail Jumping,1-5,None,1-5,yes
68326,Other,40-49,Criminal Traffic,Other,1-5,None,1-5,yes
68327,Caucasian,18-29,Felony,Other,1-5,None,None,no
68328,Other,18-29,Felony,Other,1-5,1-5,None,no
68329,Caucasian,18-29,Misdemeanor,Disorderly Conduct,None,1-5,None,no
68330,Caucasian,30-39,Felony,Other,1-5,None,None,no
68331,Other,30-39,Felony,Other,None,1-5,None,no
68332,African American,18-29,Misdemeanor,Bail Jumping,None,1-5,None,no
68333,Caucasian,18-29,Felony,Other,None,None,None,no
68334,Other,30-39,Misdemeanor,Disorderly Conduct,None,None,None,no
68335,Caucasian,40-49,Felony,Other,6-10,1-5,1-5,no
68336,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,None,1-5,None,yes
68337,African American,18-29,Felony,Other,None,None,None,yes
68338,African American,30-39,Misdemeanor,Battery,None,None,1-5,no
68339,Caucasian,30-39,Criminal Traffic,OAR/OAS,None,None,None,no
68341,African American,40-49,Misdemeanor,Other,1-5,1-5,None,yes
68342,Caucasian,40-49,Misdemeanor,Bail Jumping,1-5,6-10,None,no
68343,African American,40-49,Misdemeanor,Other,1-5,1-5,None,no
68344,African American,18-29,Felony,Burglary,None,1-5,1-5,no
68345,Caucasian,18-29,Felony,Other,None,None,None,no
68346,Other,18-29,Misdemeanor,Other,None,None,1-5,yes
68347,Other,18-29,Felony,Other,1-5,1-5,None,no
68348,Other,18-29,Criminal Traffic,OAR/OAS,None,None,1-5,yes
68349,Other,50-59,Misdemeanor,Other,1-5,1-5,None,no
68350,Caucasian,Younger than 18,Misdemeanor,Other,None,None,None,yes
68351,Caucasian,30-39,Misdemeanor,Disorderly Conduct,1-5,1-5,1-5,yes
68352,Caucasian,30-39,Felony,Other,None,1-5,None,no
68353,Caucasian,40-49,Misdemeanor,Battery,None,None,None,yes
68354,Caucasian,40-49,Criminal Traffic,Other,1-5,None,None,no
68355,Caucasian,30-39,Misdemeanor,Disorderly Conduct,None,1-5,None,no
68356,Caucasian,50-59,Misdemeanor,Disorderly Conduct,None,1-5,None,no
68357,Caucasian,18-29,Misdemeanor,Disorderly Conduct,1-5,1-5,None,no
68358,Caucasian,18-29,Felony,Burglary,None,None,None,no
68359,African American,40-49,Criminal Traffic,OAR/OAS,None,1-5,None,yes
68360,African American,18-29,Misdemeanor,Other,None,None,None,no
68361,Caucasian,18-29,Felony,Other,None,None,None,no
68362,Caucasian,18-29,Misdemeanor,Other,None,None,None,yes
68363,Other,30-39,Criminal Traffic,OAR/OAS,None,None,1-5,no
68364,Caucasian,18-29,Misdemeanor,Other,None,None,None,yes
68365,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,1-5,1-5,1-5,yes
68366,Caucasian,18-29,Felony,Bail Jumping,1-5,None,None,no
68367,Other,18-29,Felony,Bail Jumping,None,None,None,no
68368,Caucasian,18-29,Felony,Other,1-5,1-5,None,no
68369,Caucasian,30-39,Felony,Other,None,None,None,no
68370,Caucasian,18-29,Misdemeanor,Resisting Officer,6-10,None,1-5,yes
68371,Other,Younger than 18,Felony,Burglary,None,1-5,None,yes
68372,Caucasian,40-49,Criminal Traffic,OAR/OAS,None,6-10,6-10,yes
68374,Caucasian,50-59,Criminal Traffic,Operating While Intoxicated,None,1-5,1-5,no
68375,African American,40-49,Criminal Traffic,OAR/OAS,None,None,1-5,yes
68376,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,None,None,no
68377,Caucasian,30-39,Misdemeanor,Other,1-5,None,None,yes
68379,Caucasian,30-39,Misdemeanor,Other,None,1-5,None,no
68380,African American,18-29,Misdemeanor,Resisting Officer,1-5,None,None,yes
68381,Caucasian,18-29,Felony,Bail Jumping,1-5,None,None,no
68382,Caucasian,50-59,Misdemeanor,Other,1-5,1-5,None,yes
68383,Caucasian,18-29,Criminal Traffic,OAR/OAS,None,None,1-5,yes
68384,African American,18-29,Felony,Other,1-5,1-5,None,yes
68385,Caucasian,Younger than 18,Misdemeanor,Other,1-5,None,None,yes
68386,Caucasian,18-29,Misdemeanor,Resisting Officer,1-5,1-5,None,yes
68387,Caucasian,18-29,Misdemeanor,Other,1-5,1-5,None,no
68388,Caucasian,18-29,Misdemeanor,Disorderly Conduct,None,None,None,no
68389,Caucasian,Younger than 18,Misdemeanor,Battery,None,None,None,no
68390,African American,40-49,Misdemeanor,Disorderly Conduct,1-5,1-5,None,yes
68391,Caucasian,Younger than 18,Misdemeanor,Other,None,None,None,no
68392,Caucasian,Younger than 18,Felony,Other,1-5,None,None,yes
68393,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,None,None,1-5,no
68394,African American,18-29,Felony,Bail Jumping,1-5,1-5,1-5,yes
68395,African American,50-59,Felony,Other,None,None,None,yes
68396,African American,18-29,Felony,Other,None,None,None,no
68397,African American,18-29,Misdemeanor,Other,None,1-5,1-5,yes
68398,Other,Younger than 18,Felony,Battery,1-5,None,None,yes
68399,Other,18-29,Misdemeanor,Other,1-5,1-5,None,no
68400,Other,18-29,Criminal Traffic,Other,None,None,None,yes
68401,Caucasian,50-59,Misdemeanor,Bail Jumping,None,None,1-5,no
68402,Caucasian,50-59,Criminal Traffic,OAR/OAS,None,None,None,no
68403,Caucasian,30-39,Felony,Other,None,None,None,no
68404,Caucasian,18-29,Misdemeanor,Other,None,1-5,None,no
68405,Caucasian,18-29,Misdemeanor,Other,1-5,1-5,None,yes
68406,Other,18-29,Criminal Traffic,Other,1-5,None,None,no
68407,Caucasian,40-49,Misdemeanor,Disorderly Conduct,1-5,1-5,1-5,yes
68408,Caucasian,50-59,Criminal Traffic,Operating While Intoxicated,None,None,None,no
68409,Caucasian,30-39,Felony,Other,1-5,1-5,None,no
68410,Caucasian,50-59,Misdemeanor,Disorderly Conduct,None,None,None,no
68411,African American,18-29,Misdemeanor,Battery,None,1-5,None,yes
68412,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,None,None,1-5,no
68413,Caucasian,40-49,Felony,Other,None,None,None,yes
68414,Caucasian,18-29,Misdemeanor,Other,None,1-5,None,no
68415,Caucasian,18-29,Criminal Traffic,OAR/OAS,None,None,None,yes
68416,Caucasian,18-29,Felony,Other,1-5,1-5,1-5,no
68417,Caucasian,50-59,Criminal Traffic,Operating While Intoxicated,1-5,None,None,yes
68418,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,None,None,None,no
68419,Other,18-29,Misdemeanor,Resisting Officer,None,None,None,no
68420,African American,30-39,Criminal Traffic,OAR/OAS,1-5,1-5,1-5,yes
68421,Caucasian,18-29,Misdemeanor,Resisting Officer,None,1-5,None,yes
68422,African American,18-29,Misdemeanor,Other,1-5,None,1-5,yes
68423,African American,18-29,Misdemeanor,Other,1-5,None,1-5,yes
68424,African American,18-29,Felony,Bail Jumping,1-5,1-5,None,yes
68425,Caucasian,18-29,Misdemeanor,Resisting Officer,1-5,1-5,None,yes
68426,African American,18-29,Felony,Other,1-5,None,None,yes
68427,Caucasian,18-29,Felony,Bail Jumping,1-5,6-10,1-5,no
68428,Other,40-49,Misdemeanor,OAR/OAS,None,1-5,1-5,no
68429,Other,40-49,Criminal Traffic,OAR/OAS,1-5,1-5,6-10,no
68431,Caucasian,50-59,Felony,Other,1-5,1-5,None,no
68432,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,None,None,yes
68433,Other,40-49,Felony,Other,1-5,None,None,yes
68434,Caucasian,18-29,Misdemeanor,Other,None,None,None,no
68435,African American,30-39,Felony,Other,None,None,None,no
68436,African American,30-39,Misdemeanor,Other,None,1-5,None,no
68437,Caucasian,30-39,Felony,Other,None,None,None,no
68438,Caucasian,Older than 60,Misdemeanor,Disorderly Conduct,1-5,6-10,None,yes
68439,Caucasian,18-29,Misdemeanor,Resisting Officer,None,None,None,no
68440,Caucasian,18-29,Criminal Traffic,OAR/OAS,None,None,None,yes
68441,African American,30-39,Criminal Traffic,OAR/OAS,1-5,None,1-5,no
68443,Caucasian,18-29,Misdemeanor,Other,1-5,None,None,yes
68445,Caucasian,18-29,Felony,Other,None,None,None,yes
68446,African American,30-39,Misdemeanor,Other,None,None,None,no
68447,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,None,1-5,1-5,yes
68448,Caucasian,18-29,Misdemeanor,Battery,None,1-5,None,no
68449,Caucasian,18-29,Felony,Bail Jumping,1-5,None,None,yes
68450,Caucasian,18-29,Misdemeanor,Other,None,None,None,no
68451,African American,30-39,Felony,Other,1-5,1-5,None,yes
68452,Caucasian,40-49,Misdemeanor,Disorderly Conduct,6-10,1-5,6-10,yes
68454,Caucasian,40-49,Misdemeanor,Other,1-5,6-10,6-10,no
68455,Caucasian,18-29,Misdemeanor,Other,None,None,None,no
68456,Caucasian,30-39,Felony,Other,1-5,None,1-5,no
68457,Caucasian,18-29,Misdemeanor,Resisting Officer,None,1-5,None,yes
68458,Caucasian,30-39,Misdemeanor,Disorderly Conduct,1-5,1-5,None,no
68460,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,1-5,1-5,yes
68461,Caucasian,30-39,Misdemeanor,OAR/OAS,None,None,1-5,no
68462,Caucasian,40-49,Misdemeanor,Disorderly Conduct,None,1-5,None,no
68463,Caucasian,18-29,Misdemeanor,Battery,None,1-5,None,no
68464,Caucasian,18-29,Misdemeanor,Battery,1-5,1-5,None,yes
68465,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,None,1-5,1-5,no
68466,African American,40-49,Misdemeanor,Disorderly Conduct,None,None,None,no
68467,Other,18-29,Misdemeanor,Other,None,1-5,None,yes
68468,African American,18-29,Misdemeanor,Other,1-5,1-5,1-5,no
68469,Other,30-39,Misdemeanor,Disorderly Conduct,1-5,1-5,None,yes
68470,Caucasian,18-29,Misdemeanor,Battery,None,None,None,no
68471,Other,40-49,Criminal Traffic,OAR/OAS,None,None,None,no
68472,Caucasian,30-39,Felony,Burglary,None,None,None,no
68473,Other,18-29,Criminal Traffic,OAR/OAS,None,None,None,no
68474,African American,18-29,Felony,Other,1-5,None,None,no
68475,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,1-5,1-5,None,no
68476,African American,30-39,Misdemeanor,Other,None,1-5,None,no
68477,Caucasian,40-49,Felony,Other,None,None,None,no
68478,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,None,None,no
68479,Caucasian,30-39,Misdemeanor,Other,None,None,None,no
68480,African American,18-29,Misdemeanor,Disorderly Conduct,None,1-5,1-5,yes
68482,Caucasian,30-39,Felony,Bail Jumping,6-10,1-5,1-5,yes
68484,Caucasian,18-29,Misdemeanor,Disorderly Conduct,None,1-5,None,no
68485,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,1-5,1-5,yes
68486,Caucasian,40-49,Criminal Traffic,Operating While Intoxicated,None,None,1-5,no
68487,Caucasian,18-29,Felony,Other,None,None,None,yes
68488,Caucasian,40-49,Criminal Traffic,Operating While Intoxicated,1-5,None,None,yes
68489,Caucasian,40-49,Criminal Traffic,Operating While Intoxicated,None,None,None,no
68490,Other,18-29,Misdemeanor,Battery,1-5,None,None,yes
68491,Caucasian,18-29,Misdemeanor,Other,1-5,1-5,None,yes
68492,Caucasian,30-39,Felony,Other,1-5,1-5,None,yes
68493,Other,30-39,Criminal Traffic,Operating While Intoxicated,None,None,None,yes
68495,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,None,None,yes
68496,Caucasian,30-39,Misdemeanor,Other,None,None,None,yes
68497,African American,18-29,Felony,Other,1-5,1-5,None,yes
68498,African American,18-29,Misdemeanor,Bail Jumping,None,1-5,None,no
68499,Caucasian,50-59,Misdemeanor,Disorderly Conduct,None,None,None,no
68500,Caucasian,18-29,Misdemeanor,Other,1-5,None,1-5,no
68501,Caucasian,18-29,Criminal Traffic,Other,None,None,1-5,no
68502,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,1-5,1-5,1-5,no
68503,Caucasian,18-29,Misdemeanor,Operating While Intoxicated,1-5,1-5,None,no
68504,Caucasian,18-29,Misdemeanor,Other,None,None,None,no
68505,African American,30-39,Felony,Other,None,1-5,None,no
68506,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,None,None,None,no
68507,Caucasian,18-29,Criminal Traffic,OAR/OAS,None,1-5,None,no
68508,African American,18-29,Misdemeanor,Disorderly Conduct,None,None,None,no
68509,Caucasian,30-39,Felony,Operating While Intoxicated,None,None,1-5,no
68510,Caucasian,18-29,Misdemeanor,Bail Jumping,None,1-5,None,yes
68511,Other,18-29,Felony,Other,1-5,1-5,None,yes
68512,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,None,1-5,1-5,no
68513,Caucasian,30-39,Misdemeanor,Disorderly Conduct,None,None,None,no
68514,Caucasian,18-29,Misdemeanor,Disorderly Conduct,None,1-5,1-5,yes
68515,African American,18-29,Felony,Other,1-5,None,1-5,yes
68516,African American,18-29,Misdemeanor,Other,None,1-5,None,no
68517,Caucasian,18-29,Criminal Traffic,OAR/OAS,None,1-5,None,no
68518,Other,18-29,Misdemeanor,Bail Jumping,1-5,None,None,yes
68519,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,1-5,1-5,1-5,no
68520,African American,30-39,Felony,Other,1-5,None,None,no
68521,Caucasian,30-39,Felony,Other,1-5,None,1-5,no
68522,Caucasian,18-29,Felony,Other,1-5,None,None,no
68523,Other,18-29,Misdemeanor,Other,None,None,None,no
68524,Caucasian,18-29,Felony,Bail Jumping,1-5,None,None,yes
68525,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,1-5,1-5,None,yes
68526,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,1-5,1-5,1-5,yes
68527,Caucasian,18-29,Misdemeanor,Bail Jumping,None,1-5,None,no
68528,African American,18-29,Criminal Traffic,OAR/OAS,1-5,None,1-5,no
68529,Caucasian,30-39,Felony,Bail Jumping,1-5,1-5,None,yes
68531,Caucasian,18-29,Misdemeanor,Battery,None,None,None,no
68532,Caucasian,18-29,Misdemeanor,Other,None,None,None,no
68533,Caucasian,18-29,Criminal Traffic,OAR/OAS,1-5,1-5,1-5,yes
68534,Other,30-39,Criminal Traffic,Operating While Intoxicated,None,None,1-5,no
68535,African American,40-49,Felony,Other,None,None,None,no
68536,Caucasian,18-29,Felony,Other,1-5,None,None,yes
68538,Other,18-29,Felony,Bail Jumping,1-5,1-5,None,yes
68539,Caucasian,30-39,Misdemeanor,Other,1-5,1-5,None,no
68540,Other,50-59,Criminal Traffic,Other,1-5,None,None,no
68541,African American,18-29,Felony,Burglary,None,None,None,yes
68542,Caucasian,30-39,Felony,Other,1-5,6-10,None,no
68543,Other,18-29,Felony,Bail Jumping,None,None,1-5,no
68544,African American,Younger than 18,Felony,Other,None,None,None,yes
68545,Caucasian,40-49,Criminal Traffic,Operating While Intoxicated,1-5,1-5,1-5,no
68546,African American,18-29,Felony,Other,None,None,None,no
68547,Caucasian,Younger than 18,Misdemeanor,Other,None,None,None,yes
68548,Caucasian,40-49,Criminal Traffic,Operating While Intoxicated,None,None,None,no
68550,Other,40-49,Misdemeanor,Bail Jumping,1-5,6-10,6-10,no
68551,Caucasian,30-39,Criminal Traffic,OAR/OAS,1-5,1-5,6-10,yes
68552,Caucasian,18-29,Misdemeanor,Other,None,None,None,no
68553,Other,Younger than 18,Felony,Other,None,None,None,yes
68554,Other,18-29,Criminal Traffic,OAR/OAS,None,1-5,1-5,yes
68555,African American,18-29,Criminal Traffic,OAR/OAS,None,1-5,1-5,no
68556,Caucasian,18-29,Misdemeanor,Disorderly Conduct,None,None,None,no
68558,Other,18-29,Criminal Traffic,Other,None,None,None,no
68559,Caucasian,18-29,Felony,Other,None,None,None,no
68560,Caucasian,18-29,Misdemeanor,Disorderly Conduct,None,1-5,None,yes
68561,Caucasian,30-39,Misdemeanor,Other,None,1-5,1-5,no
68562,Caucasian,50-59,Felony,Other,None,None,None,no
68563,Caucasian,40-49,Criminal Traffic,Operating While Intoxicated,None,1-5,None,yes
68564,Caucasian,18-29,Misdemeanor,Other,6-10,1-5,None,no
